Sr no,married,race,loan_decision,occupancy,loan_amount,applicant_income,num_units,num_dependants,self_employed,monthly_income,purchase_price,liquid_assets,mortage_payment_history,consumer_credit_history,filed_bankruptcy,property_type,gender
1,TRUE,white,reject,1,128,74,1,1,FALSE,4583,160,52,2,2,FALSE,2,male
2,FALSE,white,approve,1,128,84,1,0,FALSE,2666,143,37,2,2,FALSE,2,male
3,TRUE,white,approve,1,66,36,1,0,TRUE,3000,110,19,2,6,TRUE,2,male
4,TRUE,white,approve,1,120,59,1,0,FALSE,2583,134,31,2,1,FALSE,1,male
5,FALSE,white,approve,1,111,63,1,0,FALSE,2208,138,169,2,6,FALSE,2,male
6,FALSE,white,approve,1,141,72,1,0,FALSE,6000,157,38,2,1,FALSE,1,male
7,FALSE,white,approve,1,276,90,1,0,FALSE,7500,346,142,2,1,FALSE,2,male
8,TRUE,white,approve,1,100,72,1,1,FALSE,3234,99.7,24.5,2,1,FALSE,2,male
9,TRUE,white,approve,1,267,144,1,2,TRUE,5417,422,111,1,1,FALSE,2,male
10,TRUE,white,approve,1,175,97,1,0,FALSE,6292,346.7,186.6,1,2,FALSE,2,male
11,TRUE,white,approve,1,95,46,1,0,FALSE,2333,135,52.33,2,6,FALSE,2,male
12,TRUE,white,reject,1,158,666,1,4,FALSE,3036,210,188,2,6,TRUE,1,male
13,TRUE,white,approve,1,110,60,1,0,FALSE,5720,143,153,1,3,FALSE,2,male
14,TRUE,white,approve,1,40,48,1,0,FALSE,3103,197,34,1,1,FALSE,2,male
15,TRUE,black,approve,1,70,33,1,1,TRUE,2800,78,10,2,1,FALSE,1,male
16,TRUE,white,approve,1,168,66,1,2,FALSE,4006,210,66,2,1,FALSE,2,male
17,TRUE,white,approve,2,114,98,1,1,FALSE,5438,170,36,1,1,FALSE,1,male
18,TRUE,white,approve,1,349,285,1,1,FALSE,12841,387,57,1,2,FALSE,2,male
19,TRUE,white,approve,1,185,99,1,0,FALSE,5600,196,24,2,1,FALSE,2,male
20,TRUE,white,approve,1,126,55,1,1,FALSE,3076,140,19,2,1,FALSE,2,male
21,TRUE,white,approve,1,100,666,1,0,TRUE,7589,208,347,3,4,FALSE,1,female
22,TRUE,white,approve,1,70,47,1,2,FALSE,3200,70,11.5,1,1,FALSE,2,male
23,TRUE,white,approve,1,125,59,1,0,TRUE,3000,180,8,1,1,FALSE,2,male
24,FALSE,white,approve,1,130,135,1,0,FALSE,11283,230,124,2,1,FALSE,2,male
25,TRUE,white,approve,1,109,52,1,2,FALSE,2500,115,13.6,2,1,FALSE,2,male
26,TRUE,black,approve,1,200,117,1,2,FALSE,3073,250,83.5,1,5,FALSE,2,male
27,FALSE,white,reject,1,114,56,1,0,FALSE,1853,120,14,2,1,FALSE,2,male
28,TRUE,white,approve,1,17,31,1,2,FALSE,1299,57,50,2,1,FALSE,2,male
29,TRUE,hispan,approve,1,208,82,1,2,FALSE,5000,260,14,1,1,FALSE,2,male
30,FALSE,white,approve,1,125,64,1,0,FALSE,4950,225,219,1,1,FALSE,2,male
31,TRUE,white,approve,1,187,177,1,0,TRUE,13000,234,48,1,1,FALSE,2,male
32,FALSE,white,approve,1,100,44,1,1,FALSE,3596,100,20,1,1,FALSE,2,male
33,TRUE,white,approve,1,100,59,1,2,FALSE,2340,125,3,2,1,FALSE,2,male
34,FALSE,black,reject,1,76,42,1,0,FALSE,3510,80,8,2,6,FALSE,2,female
35,FALSE,black,approve,1,121,666,1,0,FALSE,4706,161,46,2,1,FALSE,1,female
36,TRUE,white,reject,1,133,666,1,0,FALSE,4887,118,63,2,1,FALSE,2,male
37,FALSE,white,approve,1,140,63,1,0,FALSE,5233,200,123,2,1,FALSE,2,female
38,FALSE,white,approve,1,70,31,1,0,FALSE,2567,77,11,2,1,FALSE,1,male
39,TRUE,white,approve,1,115,73,1,0,FALSE,2600,128,23,2,1,FALSE,2,male
40,TRUE,white,approve,1,252,106,1,1,TRUE,5167,315,29,1,2,FALSE,2,male
41,TRUE,white,reject,1,104,92,1,0,FALSE,7660,130,1,2,6,FALSE,1,male
42,TRUE,white,approve,1,100,53,1,0,FALSE,3328,270,17,1,1,FALSE,2,male
43,TRUE,white,approve,1,100,123,1,0,FALSE,6333,125,26,2,6,FALSE,2,female
44,TRUE,white,approve,1,315,139,1,1,FALSE,5955,355,42.9,1,1,FALSE,2,male
45,TRUE,black,reject,1,116,62,1,0,FALSE,2600,145,1,2,4,FALSE,2,male
46,TRUE,white,approve,1,632,351,1,0,FALSE,24166,790,183,1,1,FALSE,2,male
47,FALSE,white,approve,1,112,60,1,0,TRUE,5000,140,49,2,2,FALSE,2,male
48,TRUE,hispan,reject,1,112,68,1,2,FALSE,3365,118,9,3,6,FALSE,2,male
49,FALSE,black,approve,1,78,39,1,0,FALSE,3276,115,31,2,6,FALSE,1,male
50,TRUE,black,approve,1,151,74,2,1,FALSE,3717,158,14,2,5,FALSE,3,male
51,TRUE,white,approve,1,115,57,1,0,TRUE,3900,150,6,1,2,FALSE,2,male
52,TRUE,white,approve,1,152,72,2,0,TRUE,2165,140,47,2,1,FALSE,3,male
53,FALSE,hispan,approve,1,59,27,1,1,FALSE,2226,66,11,2,2,FALSE,1,female
54,TRUE,white,reject,2,147,54,1,2,FALSE,3881,165,34,2,5,FALSE,2,male
55,FALSE,hispan,approve,1,80,44,1,0,FALSE,3685,101,34,2,1,FALSE,1,male
56,TRUE,white,approve,1,130,55,1,0,FALSE,2824,144,26,2,1,FALSE,2,male
57,TRUE,white,approve,1,280,157,1,2,FALSE,13633,350,129.3,1,2,FALSE,2,male
58,TRUE,white,approve,1,175,108,1,0,TRUE,5000,345,228,4,3,FALSE,2,male
59,TRUE,white,approve,1,187,103,1,1,FALSE,4042,330,44.02,1,1,FALSE,2,male
60,TRUE,white,approve,1,310,119,1,2,FALSE,13567,457,154,1,1,FALSE,2,male
61,TRUE,white,approve,1,345,275,1,1,FALSE,12579,388,83,1,1,FALSE,2,female
62,FALSE,white,approve,1,90,40,1,0,TRUE,3333,145,94,2,1,FALSE,2,male
63,FALSE,white,approve,1,115,52,1,0,FALSE,4333,165,207,2,1,FALSE,2,male
64,TRUE,white,approve,1,191,115,1,0,TRUE,9560,410,76,1,6,FALSE,2,male
65,FALSE,white,reject,1,123,61,1,0,FALSE,2400,136,5,2,2,TRUE,1,male
66,TRUE,white,approve,1,122,61,1,0,FALSE,2799,138,25,2,2,FALSE,2,male
67,FALSE,white,approve,1,68,35,1,0,FALSE,2887,135,144,2,1,FALSE,2,male
68,TRUE,hispan,approve,1,128,72,1,2,FALSE,2202,160,62,3,6,TRUE,2,male
69,FALSE,white,approve,1,134,57,1,0,FALSE,2773,154,32,2,1,FALSE,2,male
70,TRUE,white,approve,1,72,35,1,2,FALSE,2925,96,1,1,1,FALSE,1,female
71,TRUE,white,approve,1,110,63,1,2,FALSE,4226,141,13.1,2,5,FALSE,2,male
72,TRUE,white,approve,1,138,71,1,0,FALSE,2988,153,20.73,2,1,FALSE,2,female
73,TRUE,hispan,approve,1,248,95,1,2,FALSE,5399,295,57,2,1,FALSE,1,male
74,TRUE,white,approve,1,99,64,1,0,FALSE,4194,110,23.4,2,5,FALSE,2,male
75,TRUE,white,approve,1,187,84,1,1,FALSE,5850,268,149,2,1,FALSE,2,male
76,FALSE,white,approve,1,90,27,1,0,FALSE,3091,145,72,2,1,FALSE,2,male
77,FALSE,white,approve,2,130,27,2,0,FALSE,3125,155,25,2,1,FALSE,3,male
78,FALSE,white,approve,1,2,35,1,0,FALSE,2963,95,21,2,1,FALSE,1,male
79,FALSE,black,approve,1,132,59,1,1,FALSE,4020,149,23,2,1,FALSE,2,female
80,TRUE,black,approve,1,162,53,2,1,FALSE,2185,170,19,2,1,FALSE,3,male
81,FALSE,white,reject,1,40,50,1,4,FALSE,4166,50,17,3,3,TRUE,2,male
82,TRUE,white,approve,1,150,66,1,0,FALSE,3000,167,38,2,1,FALSE,2,male
83,FALSE,white,approve,1,94,43,1,0,FALSE,2374,99,8,2,2,FALSE,2,male
84,FALSE,white,reject,1,35,17,1,0,FALSE,1442,35,1000000,2,1,FALSE,2,male
85,FALSE,black,approve,1,120,70,1,2,FALSE,3750,150,38,2,1,FALSE,2,female
86,TRUE,white,approve,1,50,42,1,0,FALSE,3517,165,80.5,2,2,FALSE,2,male
87,FALSE,white,approve,1,180,157,1,0,FALSE,4442,225,72,1,2,FALSE,2,male
88,TRUE,black,approve,1,732,288,1,1,FALSE,23917,975,1213,1,1,FALSE,2,male
89,TRUE,white,approve,1,201,120,1,1,FALSE,4166,223,27,1,2,FALSE,2,male
90,TRUE,white,approve,1,183,100,1,0,FALSE,3734,192,23,2,5,FALSE,2,female
91,TRUE,white,approve,1,170,71,1,1,FALSE,3500,231,101,2,3,FALSE,2,male
92,TRUE,white,reject,1,166,146,1,2,TRUE,12173,208,55,2,4,FALSE,2,male
93,FALSE,white,reject,1,74,38,1,0,FALSE,3167,81,15,2,1,FALSE,1,male
94,FALSE,black,reject,1,124,56,1,0,FALSE,4666,162,43,2,1,FALSE,1,female
95,FALSE,white,approve,1,106,56,1,1,TRUE,4692,132,33.61,2,1,FALSE,2,male
96,TRUE,black,approve,1,114,70,1,0,FALSE,3500,131,35,2,1,FALSE,2,male
97,FALSE,white,approve,1,131,68,1,1,FALSE,5667,145,38,2,2,FALSE,1,male
98,FALSE,white,reject,1,320,0,1,3,FALSE,12500,630,421.2,1,3,TRUE,2,male
99,TRUE,hispan,approve,1,192,105,1,2,FALSE,8750,225,17,1,1,FALSE,2,female
100,FALSE,white,approve,1,101,52,1,0,FALSE,2493,107,17.68,2,1,FALSE,1,male
101,FALSE,white,approve,1,68,36,1,0,FALSE,3045,85,24,2,2,FALSE,1,female
102,FALSE,white,approve,1,155,65,2,0,FALSE,2541,172,28,2,1,FALSE,3,female
103,TRUE,white,approve,1,200,90,1,2,FALSE,4583,300,122,2,1,FALSE,1,male
104,TRUE,white,approve,1,115,52,1,0,FALSE,2275,137,21,2,1,FALSE,2,male
105,TRUE,black,approve,1,126,49,1,3,FALSE,3786,171,10,2,6,TRUE,2,male
106,TRUE,white,approve,1,300,206,1,0,FALSE,9226,615,328,1,1,FALSE,2,male
107,TRUE,white,reject,1,100,38,,0,FALSE,1828,122,16,2,6,FALSE,2,male
108,FALSE,white,approve,1,235,99,1,0,FALSE,8283,255,0.9,1,1,FALSE,2,male
109,TRUE,white,approve,1,65,32,1,0,FALSE,2766,72.4,15.5,2,1,FALSE,2,male
110,TRUE,hispan,approve,1,144,62,3,0,FALSE,3667,160,19,2,1,FALSE,3,female
111,FALSE,white,approve,1,135,63,1,0,FALSE,5290,180,58,2,1,FALSE,2,female
112,FALSE,white,approve,2,184,50,1,0,FALSE,4166,230,50,1,1,FALSE,1,male
113,FALSE,white,approve,1,100,57,1,0,FALSE,1300,295,255,2,2,FALSE,2,male
114,FALSE,white,approve,1,110,65,1,0,FALSE,3748,167,71,2,1,FALSE,2,male
115,FALSE,hispan,approve,1,149,58,1,0,FALSE,4800,165,50.1,2,1,FALSE,1,female
116,TRUE,white,approve,1,450,265,1,0,FALSE,22108,650,365,1,1,FALSE,2,male
117,FALSE,black,reject,1,80,43,1,0,FALSE,3600,100,15.5,2,4,FALSE,1,male
118,FALSE,white,approve,1,47,36,1,0,FALSE,1800,67.5,5.152,2,2,FALSE,1,male
119,TRUE,hispan,reject,1,48,42,1,1,FALSE,1888,62.9,34,2,2,FALSE,2,male
120,TRUE,white,approve,1,160,119,1,2,TRUE,7400,300,198,2,1,FALSE,2,male
121,TRUE,white,approve,1,75,24,1,0,FALSE,2400,100,56,2,1,FALSE,2,male
122,FALSE,white,approve,1,28,25,1,4,FALSE,2083,100,54,2,2,FALSE,1,female
123,FALSE,white,approve,1,187,62,1,0,TRUE,5142,280,54.45,4,3,FALSE,2,male
124,TRUE,hispan,approve,1,180,40,2,4,TRUE,8675,200.5,37,2,1,FALSE,3,male
125,TRUE,black,approve,1,100,120,1,1,FALSE,3781,100,100,1,1,FALSE,2,male
126,FALSE,white,approve,1,101,48,1,0,FALSE,3909,125,20,2,1,FALSE,1,
127,TRUE,white,approve,1,132,72,1,1,FALSE,3293,165,45,2,5,TRUE,2,male
128,TRUE,white,approve,1,160,68,2,2,FALSE,5661,240,80,1,1,FALSE,3,male
129,TRUE,white,approve,1,134,75,1,0,FALSE,3941,150,21,1,1,FALSE,1,male
130,TRUE,white,approve,1,350,259,1,2,TRUE,21666,737,1100,1,1,FALSE,2,female
131,TRUE,white,approve,1,85,60,1,2,FALSE,3247,84,269.7,1,1,FALSE,2,male
132,TRUE,white,approve,1,91,63,1,0,FALSE,2816,114,19,2,2,FALSE,2,male
133,FALSE,white,approve,1,125,51,1,0,FALSE,3765,195,80,1,1,FALSE,2,female
134,TRUE,white,approve,1,96,64,1,0,TRUE,4695,120,10.4,1,3,FALSE,2,male
135,FALSE,white,approve,1,88,41,1,0,FALSE,3410,110,37,2,1,FALSE,1,female
136,TRUE,white,approve,2,44,68,1,1,FALSE,5649,55,3,1,1,FALSE,2,male
137,FALSE,white,approve,1,100,77,1,0,FALSE,2791,126,38,1,1,FALSE,2,male
138,FALSE,white,approve,1,56,104,1,0,FALSE,8666,75,38.43,2,1,FALSE,1,male
139,TRUE,white,approve,1,182,98,2,2,FALSE,3015,202,23.6,2,5,FALSE,3,male
140,TRUE,white,approve,1,86,51,1,0,FALSE,2121,115,31,2,2,FALSE,2,male
141,TRUE,white,approve,1,129,90,1,3,FALSE,4279,233,12,1,1,FALSE,2,male
142,TRUE,white,approve,1,144,72,1,0,FALSE,5821,156,36,2,2,FALSE,2,male
143,TRUE,white,approve,1,105,71,1,0,FALSE,2013,132,8,2,1,FALSE,2,male
144,TRUE,white,reject,1,120,73,2,0,FALSE,2645,133,5,2,6,TRUE,3,female
145,TRUE,white,approve,2,137,253,1,0,TRUE,21117,171,429,1,1,FALSE,1,male
146,TRUE,white,approve,1,160,75,1,2,FALSE,5580,302,63,1,2,FALSE,2,male
147,TRUE,white,reject,1,290,117,1,0,FALSE,5400,405,246,1,2,FALSE,2,male
148,FALSE,white,approve,2,70,30,2,0,TRUE,2656,90,0,1,1,FALSE,3,male
149,FALSE,white,approve,1,144,64,1,0,FALSE,4000,185,56,2,1,FALSE,2,female
150,FALSE,white,approve,1,199,94,3,0,FALSE,7865,246,206,2,6,FALSE,3,female
151,FALSE,white,reject,1,148,288,1,0,FALSE,0,185,151,3,6,FALSE,2,male
152,FALSE,white,approve,1,237,99,1,0,FALSE,8333,296,72,2,1,FALSE,1,male
153,TRUE,white,approve,1,100,43,1,0,FALSE,1928,182,107,2,1,FALSE,2,female
154,FALSE,white,approve,1,90,53,1,1,FALSE,2430,100,7,2,5,TRUE,2,male
155,FALSE,black,approve,1,120,52,2,0,FALSE,3086,150,57,2,1,FALSE,3,female
156,TRUE,white,approve,1,100,49,1,1,FALSE,4050,190,155,1,2,FALSE,2,male
157,FALSE,white,approve,1,53,33,1,0,FALSE,2622,92.5,60.7,1,6,FALSE,1,female
